term,M1_temp,M1_se,M2_weekday,M2_se,M3_weather,M3_se,M4_season,M4_se
Intercept,15805.1***,(262.2),27282.7***,(1379.5),37120.5***,(1048.0),-64093.3***,(9396.0)
temp,1008.7***,(20.3),589.4***,(28.9),799.3***,(20.5),562.4***,(26.6)
precip,,,-211.8***,(16.3),-237.7***,(20.0),-183.7***,(17.3)
humidity,,,-107.8***,(13.3),-182.6***,(10.7),,
windspeed,,,-192.2***,(10.6),-210.2***,(11.8),-149.2***,(11.4)
cloudcover,,,-10.7**,(4.2),,,,
C(year)[T.2021],,,4969.6***,(412.9),,,,
C(year)[T.2022],,,4565.2***,(415.4),,,,
C(year)[T.2023],,,-2777.4***,(417.4),,,,
C(year)[T.2024],,,-1911.2***,(433.8),,,,
C(year)[T.2025],,,-2831.3***,(472.5),,,,
solarradiation,,,40.8***,(2.3),,,,
visibility,,,54.0***,(9.6),,,105.5***,(8.1)
C(post_2023)[T.True],,,,,,,-4787.6***,(198.0)
C(season_name)[T.Spring],,,,,,,-3982.6***,(334.1)
C(season_name)[T.Summer],,,,,,,-2809.8***,(379.4)
C(season_name)[T.Winter],,,,,,,-3172.5***,(278.0)
precipcover,,,,,,,-39.7***,(7.4)
sealevelpressure,,,,,,,80.9***,(9.1)
uvindex,,,,,,,886.2***,(52.6)
daylight,,,,,,,335.6***,(75.6)
C(year)[T.2020],,,2192.3***,(435.4),,,,
C(year)[T.2019],,,2138.1***,(441.2),,,,
C(year)[T.2018],,,2414.2***,(442.6),,,,
C(year)[T.2017],,,2360.5***,(383.9),,,,
C(day_of_week)[T.Tue],,,2409.2***,(289.1),2398.9***,(362.9),2373.1***,(300.0)
C(day_of_week)[T.Wed],,,2566.9***,(289.1),2496.7***,(362.9),2541.7***,(299.9)
C(day_of_week)[T.Thu],,,2407.1***,(289.2),2490.3***,(362.9),2503.6***,(300.1)
C(day_of_week)[T.Fri],,,744.1**,(289.2),824.8**,(362.9),782.6***,(300.1)
C(day_of_week)[T.Sat],,,-1292.1***,(289.2),-1318.8***,(363.0),-1300.0***,(300.1)
C(day_of_week)[T.Sun],,,-3661.3***,(289.2),-3520.4***,(363.0),-3639.7***,(300.1)
C(month)[T.2],,,444.0,(389.6),,,,
C(month)[T.3],,,-962.4**,(406.3),,,,
C(month)[T.4],,,-2523.6***,(468.5),,,,
C(month)[T.5],,,-1021.5**,(514.8),,,,
C(month)[T.6],,,-325.4,(571.2),,,,
C(month)[T.7],,,-381.2,(591.4),,,,
C(month)[T.8],,,-924.8*,(556.7),,,,
C(month)[T.9],,,1781.1***,(493.9),,,,
C(month)[T.10],,,3445.4***,(432.1),,,,
C(month)[T.11],,,3137.0***,(392.7),,,,
C(month)[T.12],,,-1270.7***,(379.7),,,,
C(year)[T.2015],,,1055.1***,(384.6),,,,
C(year)[T.2016],,,1847.9***,(383.0),,,,
R-squared,0.4,,0.7,,0.5,,0.7,
R-squared Adj.,0.4,,0.7,,0.5,,0.7,
AIC,"90,483",,"87,333",,"89,302",,"87,640",
Adj R2,0.36,,0.69,,0.51,,0.67,
N,"4,383",,"4,383",,"4,383",,"4,383",
Residual SE,"7,353",,"5,114",,"6,420",,"5,306",
